"		지점번호",지점명,일시,평균기온(℃),최고기온(℃),"	최고기온시각",최저기온(℃),최저기온시각일교차,
"		108",서울,2014-12-01,-1.1,7.9,0:01,-7.2,23:56,15.1
"		108",서울,2014-12-02,-5.4,-2.7,14:42,-8.2,4:58,5.5
"		108",서울,2014-12-03,-3.3,-0.5,14:36,-6.5,7:13,6
"		108",서울,2014-12-04,-4.6,-0.2,13:44,-7.4,7:05,7.2
"		108",서울,2014-12-05,-6.6,-2.5,15:45,-10.1,7:51,7.6
"		108",서울,2014-12-06,-5.6,-0.5,13:52,-8.8,7:32,8.3
"		108",서울,2014-12-07,-3.4,0.2,15:17,-8.2,1:55,8.4
"		108",서울,2014-12-08,-1.6,2.7,14:39,-4.8,23:43,7.5
"		108",서울,2014-12-09,-2.4,4.1,15:17,-7.4,6:17,11.5
"		108",서울,2014-12-10,1.6,4.2,15:32,-1.9,7:22,6.1
"		108",서울,2014-12-11,-1.5,3.2,0:57,-5.2,23:26,8.4
"		108",서울,2014-12-12,-3.8,0.5,12:21,-7,5:56,7.5
"		108",서울,2014-12-13,-5.2,-2,14:29,-7.3,7:56,5.3
"		108",서울,2014-12-14,-3.6,0.6,12:56,-8.6,5:00,9.2
"		108",서울,2014-12-15,-0.1,2,13:08,-1.7,2:46,3.7
"		108",서울,2014-12-16,-4.9,1.7,2:09,-9.4,23:48,11.1
"		108",서울,2014-12-17,-9,-5.2,13:42,-11.1,7:16,5.9
"		108",서울,2014-12-18,-8.3,-2.2,15:35,-13.2,7:12,11
"		108",서울,2014-12-19,-3.8,0,22:28,-8.1,6:52,8.1
"		108",서울,2014-12-20,-1.7,2.1,6:30,-6.6,23:35,8.7
"		108",서울,2014-12-21,-6.4,-1.3,11:56,-9,8:15,7.7
"		108",서울,2014-12-22,-4.7,0.8,15:22,-9.7,5:20,10.5
"		108",서울,2014-12-23,-1.3,1.8,15:05,-5.7,5:36,7.5
"		108",서울,2014-12-24,1.7,6.4,12:55,-3.1,23:49,9.5
"		108",서울,2014-12-25,-2.6,1.8,14:50,-5.9,7:34,7.7
"		108",서울,2014-12-26,-3.2,2.5,15:00,-7.4,7:27,9.9
"		108",서울,2014-12-27,-1.8,5,14:18,-6.3,7:58,11.3
"		108",서울,2014-12-28,-0.8,1.6,14:05,-3.6,7:14,5.2
"		108",서울,2014-12-29,2.9,6.4,13:18,-0.5,0:01,6.9
"		108",서울,2014-12-30,1.9,6.3,15:07,-1.6,23:47,7.9
"		108",서울,2014-12-31,-1.9,1.7,15:35,-6.9,23:52,8.6
"		108",서울,2015-12-01,4,10.4,15:41,-1.3,7:17,11.7
"		108",서울,2015-12-02,6,8.5,11:26,2.9,23:09,5.6
