movieCd,movieNm,openDt,audiAcc,salesAcc,rank,rankOldAndNew
20030410,실미도,2003-12-24,647712,4117849500,1,OLD
20030316,반지의 제왕 : 왕의 귀환,2003-12-17,548189,3409265500,2,OLD
20030430,라스트 사무라이,2004-01-09,88264,558264500,3,OLD
20030420,동해물과 백두산이,2003-12-31,150056,957631000,4,OLD
20030404,러브 액츄얼리,2003-12-05,187174,1221941000,5,OLD
20030426,더 캣,2003-12-31,30403,185512000,7,OLD
20030350,올드보이,2003-11-21,294319,1897548500,8,OLD
20030408,해피 에로 크리스마스,2003-12-17,64378,411188500,9,OLD
20030433,말죽거리 잔혹사,2004-01-16,284,2175500,10,NEW
20030435,내사랑 싸가지,2004-01-16,77531,472339000,4,NEW
20040442,피터 팬,2004-01-16,25823,155524500,6,NEW
20040441,빙우,2004-01-16,24043,155315000,7,NEW
20030436,브라더 베어,2004-01-16,8150,53901500,11,NEW
20040443,페이첵,2004-01-22,70078,446261500,4,NEW
20030434,안녕! 유에프오,2004-01-30,27937,173498500,7,NEW
20030439,그녀를 모르면 간첩,2004-01-30,23907,146877500,9,NEW
20030437,런어웨이,2004-01-30,14532,92187500,10,NEW
20030371,태극기 휘날리며,2004-02-05,408103,2535930000,1,NEW
20030206,베이직,2004-02-06,8392,53605500,10,NEW
20040467,사랑할 때 버려야 할 아까운 것들,2004-02-13,37061,234276500,3,NEW
20040460,열두명의 웬수들 ,2004-02-13,7159,44586500,6,NEW
20030440,자토이치,2004-01-30,22338,144138000,10,OLD
20030413,목포는 항구다,2004-02-20,68018,422073000,3,OLD
20040446,그녀를 믿지 마세요,2004-02-20,66705,412631000,4,OLD
20040461,콜드 마운틴,2004-02-20,19601,122344500,6,NEW
20040476,사랑도 통역이 되나요?,2004-02-20,14163,91494000,7,NEW
20040459,스파이 키드 3D,2004-02-13,5663,34331500,11,OLD
20040448,타임라인,2004-02-27,14412,90901500,7,NEW
20040447,스쿨 오브 락,2004-02-27,12349,75905000,8,NEW
20040464,8명의 여인들,2004-02-27,7205,45975500,11,NEW
20040505,사마리아,2004-03-05,25569,161991500,5,NEW
20040462,빅 피쉬,2004-03-05,19014,122520000,6,NEW
20040479,휴먼 스테인,2004-03-05,11901,76406500,8,NEW
20040471,어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,2004-03-12,57954,367639000,3,NEW
20040456,어깨동무,2004-03-12,42808,271735000,4,NEW
20040512,헌티드,2004-03-12,15214,95926000,9,NEW
20040509,모나리자 스마일,2004-03-19,20787,133136000,5,NEW
20040519,히달고,2004-03-19,17268,110006500,7,NEW
20040482,맹부삼천지교,2004-03-26,64424,405338000,2,NEW
20040496,아홉살 인생,2004-03-26,31999,198481500,5,NEW
20040506,허니 ,2004-03-26,15229,99903000,7,NEW
20040525,패션 오브 크라이스트,2004-04-02,124330,788400000,1,NEW
20040481,어린 신부,2004-04-02,112803,698153500,2,OLD
20040486,마지막 늑대,2004-04-01,24045,152633000,6,NEW
20040522,폴리와 함께,2004-04-02,13793,90136000,7,NEW
20040528,고티카,2004-04-02,11047,71092500,9,NEW
20040514,바람의 전설,2004-04-09,24938,159205000,5,NEW
20040499,저지 걸,2004-04-09,21983,140687000,6,NEW
20040487,범죄의 재구성,2004-04-15,222856,1447803000,3,OLD
20040526,첫키스만 50번째,2004-04-15,60402,398790000,4,NEW
20040455,무간도3: 종극무간,2004-07-02,19092,131012500,9,NEW
20040524,테이킹 라이브즈,2004-04-15,17057,110394000,10,NEW
20040537,라이어,2004-04-23,55433,365366000,5,NEW
20040488,아라한 장풍대작전,2004-04-30,171072,1111990000,2,NEW
20040533,인 더 컷,2004-04-30,15996,106105500,8,NEW
20040544,스타스키와 허치,2004-04-30,10954,72874000,9,OLD
20040521,더티 댄싱 - 하바나 나이트,2004-04-23,23872,153958000,10,OLD
20040483,효자동 이발사,2004-05-05,304603,1984484500,1,OLD
