movieCd,movieNm,openDt,audiAcc,salesAcc,rank,rankOldAndNew,genres,directors,actors,showTm,watchGradeNm,nations
20030410,실미도,2003-12-24,647712,4117849500,1,OLD,전쟁,강우석,"설경구,안성기,허준호,정재영,임경호",135,15세관람가,한국
20030316,반지의 제왕 : 왕의 귀환,2003-12-17,548189,3409265500,2,OLD,"판타지,어드벤처",피터 잭슨,"비고 모텐슨,일라이저 우드,이안 맥켈런,숀 애스틴,리브 타일러",262,12세관람가,미국
20030430,라스트 사무라이,2004-01-09,88264,558264500,3,OLD,액션,에드워드 즈윅,"톰 크루즈,와타나베 켄",144,15세관람가,미국
20030420,동해물과 백두산이,2003-12-31,150056,957631000,4,OLD,코미디,안진우,"정준호,공형진,류현경,박정우,박상욱",104,15세관람가,한국
20030404,러브 액츄얼리,2003-12-05,187174,1221941000,5,OLD,"멜로/로맨스,드라마,코미디",리차드 커티스,"휴 그랜트,콜린 퍼스,알란 릭맨,엠마 톰슨,리암 니슨",130,15세관람가,"미국,영국"
20030426,더 캣,2003-12-31,30403,185512000,7,OLD,"판타지,어드벤처",보 웰치,"마이크 마이어스,알렉 볼드윈",85,전체관람가,미국
20030350,올드보이,2003-11-21,294319,1897548500,8,OLD,스릴러,박찬욱,"최민식,유지태,강혜정,김병옥,오달수",120,18세관람가,한국
20030408,해피 에로 크리스마스,2003-12-17,64378,411188500,9,OLD,드라마,이건동,"김선아,차태현,박영규,김지영,홍성규",110,15세관람가,한국
20030433,말죽거리 잔혹사,2004-01-16,284,2175500,10,NEW,"액션,멜로/로맨스",유하,"권상우,이정진,한가인,김인권,박효준",115,15세관람가,한국
20030435,내사랑 싸가지,2004-01-16,77531,472339000,4,NEW,코미디,신동엽,"김재원,진태현,하지원,김지훈,한민",95,12세관람가,한국
20040442,피터 팬,2004-01-16,25823,155524500,6,NEW,"어드벤처,가족,판타지",P.J. 호건,"레이첼 허드-우드,제이슨 아이삭스,제레미 섬터",113,전체관람가,미국
20040441,빙우,2004-01-16,24043,155315000,7,NEW,드라마,김은숙,"김하늘,이성재,송승헌,이상윤,유해진",104,12세관람가,한국
20030436,브라더 베어,2004-01-16,8150,53901500,11,NEW,드라마,"애론 블레이즈,로버트 워커","제레미 슈어레즈,호아킨 피닉스",85,전체관람가,미국
20040443,페이첵,2004-01-22,70078,446261500,4,NEW,액션,오우삼,"벤 애플렉,우마 서먼,아론 에크하트",119,15세관람가,미국
20030434,안녕! 유에프오,2004-01-30,27937,173498500,7,NEW,드라마,김진민,"변희봉,봉태규,이범수,이은주,정인선",105,전체관람가,한국
20030439,그녀를 모르면 간첩,2004-01-30,23907,146877500,9,NEW,코미디,박한준,"공유,김정화,백일섭,김애경,남상미",100,15세관람가,한국
20030437,런어웨이,2004-01-30,14532,92187500,10,NEW,스릴러,게리 플레더,"더스틴 호프만,진 해크만,레이첼 와이즈",127,15세관람가,미국
20030371,태극기 휘날리며,2004-02-05,408103,2535930000,1,NEW,"전쟁,드라마",강제규,"장동건,원빈,이은주,조원희,이장욱",148,15세관람가,한국
20030206,베이직,2004-02-06,8392,53605500,10,NEW,액션,존 맥티어난,"사무엘 L. 잭슨,코니 닐슨,존 트라볼타",98,15세관람가,미국
20040467,사랑할 때 버려야 할 아까운 것들,2004-02-13,37061,234276500,3,NEW,코미디,낸시 마이어스,,128,15세관람가,미국
20040460,열두명의 웬수들 ,2004-02-13,7159,44586500,6,NEW,코미디,숀 레비,"스티브 마틴,보니 헌트,힐러리 더프,블레이크 우드러프",95,전체관람가,미국
20030440,자토이치,2004-01-30,22338,144138000,10,OLD,액션,기타노 다케시,"기타노 다케시,아사노 타다노부,오쿠스 미치요",119,15세관람가,일본
