문제번호,제목,티어,태그,맞힌 사람,완료여부
1000,A+B,sprout,"구현, 사칙연산, 수학",370459,
1001,A-B,sprout,"구현, 사칙연산, 수학",319293,
1008,A/B,sprout,"구현, 사칙연산, 수학",266984,
1330,두 수 비교하기,sprout,구현,237791,
2420,사파리월드,sprout,"구현, 사칙연산, 수학",39449,
2438,별 찍기 - 1,sprout,구현,214946,
2475,검증수,sprout,"구현, 사칙연산, 수학",67698,
2557,Hello World,sprout,구현,407714,
2738,행렬 덧셈,sprout,"수학, 구현, 사칙연산",65128,
2739,구구단,sprout,"구현, 수학",228623,
2741,N 찍기,sprout,구현,151844,
2743,단어 길이 재기,sprout,"구현, 문자열",90090,
2744,대소문자 바꾸기,sprout,"구현, 문자열",31826,
2753,윤년,sprout,"구현, 사칙연산, 수학",215630,
2754,학점계산,sprout,"구현, 문자열",28369,
5597,과제 안 내신 분..?,sprout,구현,87775,
7287,등록,sprout,구현,71266,
9086,문자열,sprout,"구현, 문자열",73594,
9498,시험 성적,sprout,구현,238812,
10171,고양이,sprout,구현,213545,
10172,개,sprout,구현,207485,
10699,오늘 날짜,sprout,구현,46528,
10807,개수 세기,sprout,구현,108505,
10869,사칙연산,sprout,"구현, 사칙연산, 수학",267111,
10871,X보다 작은 수,sprout,구현,180393,
10872,팩토리얼,sprout,"수학, 구현",94629,
10950,A+B - 3,sprout,"구현, 사칙연산, 수학",195884,
10951,A+B - 4,sprout,"구현, 사칙연산, 수학",157374,
10952,A+B - 5,sprout,"구현, 사칙연산, 수학",170342,
10998,A×B,sprout,"구현, 사칙연산, 수학",268526,
11382,꼬마 정민,sprout,"구현, 사칙연산, 수학",123149,
11654,아스키 코드,sprout,구현,142885,
11718,그대로 출력하기,sprout,"구현, 문자열",88900,
14681,사분면 고르기,sprout,"구현, 기하학",186272,
15552,빠른 A+B,sprout,"구현, 사칙연산, 수학",151041,
15964,이상한 기호,sprout,"사칙연산, 수학, 구현",24803,
25083,새싹,sprout,구현,92542,
27866,문자와 문자열,sprout,"구현, 문자열",82345,
